trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
377,False,"{'a': 0.5, 'e': 0.022392550271025803}",20,0,28.177839266608608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
378,False,"{'a': 0.5, 'e': 0.022168624768315544}",20,10,20.952275192593024,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.5, 'e': 0.02194693852063239}",25,16,6.108433231964943,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
380,False,"{'a': 0.5, 'e': 0.021727469135426065}",25,10,-19.88981253972256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
381,False,"{'a': 0.5, 'e': 0.021510194444071803}",30,10,33.71339295797455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.5, 'e': 0.021295092499631085}",20,3,25.076539957349915,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.5, 'e': 0.021082141574634772}",20,2,27.122619236040038,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.5, 'e': 0.020871320158888425}",25,17,17.230177880756063,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.5, 'e': 0.020662606957299542}",20,9,17.808874133332118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.5, 'e': 0.020455980887726547}",20,14,14.122642637342278,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.5, 'e': 0.02025142107884928}",20,6,-16.809795833997853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
388,False,"{'a': 0.5, 'e': 0.020048906868060788}",20,13,10.932065461118107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.5, 'e': 0.01984841779938018}",20,0,29.316802408361895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
390,False,"{'a': 0.5, 'e': 0.019649933621386378}",20,11,17.10305460900393,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.5, 'e': 0.019453434285172513}",20,6,28.034918986947222,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.5, 'e': 0.019258899942320787}",20,7,24.80890808896398,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.5, 'e': 0.01906631094289758}",25,11,24.754543528894224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.5, 'e': 0.018875647833468602}",20,16,8.263251301947932,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.5, 'e': 0.018686891355133916}",20,8,22.3623365011278,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.5, 'e': 0.018500022441582577}",20,13,14.393752829950024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.5, 'e': 0.01831502221716675}",25,13,23.141118376663464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.5, 'e': 0.018131871994995084}",25,15,15.493027062998145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.017950553275045134}",20,15,9.551200543825642,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.5, 'e': 0.017771047742294682}",30,13,33.90670640497318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.017593337264871736}",20,10,21.84410439516617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.01741740389222302}",30,8,34.37476629125223,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.01724322985330079}",25,0,36.92668474089198,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
404,False,"{'a': 0.5, 'e': 0.017070797554767782}",20,10,17.616771463022392,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.016900089579220106}",20,10,20.961057456545415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.016731088683427906}",35,23,21.8395838895445,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.016563777796593626}",20,12,16.147484158408876,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.016398140018627688}",20,13,11.966307353378795,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': 0.01623415861844141}",25,11,28.440321760487045,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.016071817032256998}",25,11,27.813092270726838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.5, 'e': 0.01591109886193443}",30,12,-9.916386652486814,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
412,False,"{'a': 0.5, 'e': 0.015751987873315085}",20,11,14.94930647372428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.5, 'e': 0.015594467994581935}",30,6,39.06746974217148,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.5, 'e': 0.015438523314636115}",25,18,15.200311938530408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.5, 'e': 0.015284138081489753}",30,0,42.956352653264815,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.015131296700674856}",30,24,9.568354753253402,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.014979983733668108}",25,19,9.967825801213799,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.014830183896331426}",20,12,14.243545749065563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': 0.014681882057368112}",20,6,-17.17281501359642,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
420,False,"{'a': 0.5, 'e': 0.01453506323679443}",20,8,7.983324073660949,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
421,False,"{'a': 0.5, 'e': 0.014389712604426485}",35,21,22.256322671696527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': 0.01424581547838222}",20,9,-22.076776717455324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
423,False,"{'a': 0.5, 'e': 0.014103357323598397}",30,14,23.80200978151143,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': 0.013962323750362413}",20,15,10.471111642409033,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.013822700512858789}",30,18,24.40777427987152,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.5, 'e': 0.0136844735077302}",20,10,23.41904749388641,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.5, 'e': 0.013547628772652899}",20,0,31.33302809344725,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.5, 'e': 0.01341215248492637}",20,10,17.06469931811191,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.5, 'e': 0.013278030960077106}",25,5,36.30668684856768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.5, 'e': 0.013145250650476335}",20,12,17.065307106792133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.5, 'e': 0.01301379814397157}",30,16,23.62979630880971,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.5, 'e': 0.012883660162531854}",20,10,16.677907242648196,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.5, 'e': 0.012754823560906535}",30,17,19.729537641569596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.5, 'e': 0.01262727532529747}",20,4,29.738646355405546,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.5, 'e': 0.012501002572044496}",35,19,17.97900721149551,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': 0.01237599254632405}",25,14,22.873796013988464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.5, 'e': 0.01225223262086081}",25,8,29.009803946577602,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.5, 'e': 0.012129710294652202}",30,18,22.481528010816064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.5, 'e': 0.01200841319170568}",30,12,31.038135542136587,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.5, 'e': 0.011888329059788623}",25,8,28.769391720056834,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.011769445769190737}",20,6,22.770555090973907,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.5, 'e': 0.01165175131149883}",25,10,26.103431876131886,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
